"Site","Date","spat_year","alive_nb","dead_nb","init_nb","Batch","site_spat","Specie","Support","Operator","Comments","Campaign","MR"
"Pont_Mahe",2014-06-16,2013,115,5,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Pont_Mahe",2014-09-10,2013,112,8,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Pont_Mahe",2014-12-10,2013,108,11,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Vivier",2013-12-02,2013,119,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Vivier",2014-03-18,2013,115,4,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Vivier",2014-06-12,2013,114,6,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Vivier",2014-09-08,2013,115,4,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Vivier",2014-12-05,2013,90,29,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Yves",2013-12-03,2013,119,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Yves",2014-03-06,2013,117,2,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Yves",2014-06-16,2013,64,55,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Yves",2014-09-10,2013,61,58,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Yves",2014-12-10,2013,52,68,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Agon",2014-12-08,2014,119,0,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-02-15,2014,110,9,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-03-04,2014,114,4,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-04-20,2014,108,11,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-05-18,2014,71,47,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-06-16,2014,89,30,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-07-15,2014,56,63,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-09-14,2014,81,37,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Agon",2015-12-15,2014,64,54,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2014-11-06,2014,120,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2014-12-08,2014,118,2,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
"Aiguillon",2015-01-07,2014,120,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2015,NA
